"filename", "language", "JSON", "TypeScript React", "Markdown", "SCSS", "XML", "CSS", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\me\update_chapters_read.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\me\user_id.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\mod\accept_book.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\mod\deny_book.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\mod\get_pending_books.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\search_book.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\user\[id]\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\ardaf\repository\lightnoveltracker\pages\books\[id].tsx", "TypeScript React", 0, 79, 0, 0, 0, 0, 0, 0, 1, 11, 91
"c:\Users\ardaf\repository\lightnoveltracker\pages\error.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 4, 4, 30
"c:\Users\ardaf\repository\lightnoveltracker\pages\index.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 2, 10, 58
"c:\Users\ardaf\repository\lightnoveltracker\pages\login.tsx", "TypeScript React", 0, 121, 0, 0, 0, 0, 0, 0, 1, 11, 133
"c:\Users\ardaf\repository\lightnoveltracker\pages\modPanel.tsx", "TypeScript React", 0, 95, 0, 0, 0, 0, 0, 0, 1, 12, 108
"c:\Users\ardaf\repository\lightnoveltracker\pages\profile\[id].tsx", "TypeScript React", 0, 70, 0, 0, 0, 0, 0, 0, 1, 11, 82
"c:\Users\ardaf\repository\lightnoveltracker\pages\search.tsx", "TypeScript React", 0, 171, 0, 0, 0, 0, 0, 0, 2, 12, 185
"c:\Users\ardaf\repository\lightnoveltracker\pages\setupAccount.tsx", "TypeScript React", 0, 55, 0, 0, 0, 0, 0, 0, 1, 14, 70
"c:\Users\ardaf\repository\lightnoveltracker\pages\submit.tsx", "TypeScript React", 0, 174, 0, 0, 0, 0, 0, 0, 5, 17, 196
"c:\Users\ardaf\repository\lightnoveltracker\public\icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ardaf\repository\lightnoveltracker\public\manifest.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65
"c:\Users\ardaf\repository\lightnoveltracker\public\workbox-21b21c9a.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
